sample_id,location,stage,year,day,number
ob_1,oude_beek,second_instar,1,145,458
ob_1,oude_beek,second_instar,1,146,459
ob_1,oude_beek,second_instar,1,147,461
ob_1,oude_beek,second_instar,1,148,463
ob_1,oude_beek,second_instar,1,149,464
ob_1,oude_beek,second_instar,1,150,466
ob_1,oude_beek,second_instar,1,151,467
ob_1,oude_beek,second_instar,1,152,469
ob_1,oude_beek,second_instar,1,153,470
ob_1,oude_beek,second_instar,1,154,471
ob_1,oude_beek,second_instar,1,155,355
ob_1,oude_beek,second_instar,1,156,353
ob_1,oude_beek,second_instar,1,157,349
ob_1,oude_beek,second_instar,1,158,344
ob_1,oude_beek,second_instar,1,159,339
ob_1,oude_beek,second_instar,1,160,333
ob_1,oude_beek,second_instar,1,161,328
ob_1,oude_beek,second_instar,1,162,323
ob_1,oude_beek,second_instar,1,163,317
ob_1,oude_beek,second_instar,1,164,312
ob_1,oude_beek,second_instar,1,165,307
ob_1,oude_beek,second_instar,1,166,302
ob_1,oude_beek,second_instar,1,167,297
ob_1,oude_beek,second_instar,1,168,293
ob_1,oude_beek,second_instar,1,169,288
ob_1,oude_beek,second_instar,1,170,286
ob_1,oude_beek,second_instar,1,171,287
ob_1,oude_beek,second_instar,1,172,288
ob_1,oude_beek,second_instar,1,173,289
ob_1,oude_beek,second_instar,1,174,290
ob_1,oude_beek,second_instar,1,175,291
ob_1,oude_beek,second_instar,1,176,292
ob_1,oude_beek,second_instar,1,177,293
ob_1,oude_beek,second_instar,1,178,294
ob_1,oude_beek,second_instar,1,179,296
ob_1,oude_beek,second_instar,1,180,302
ob_1,oude_beek,second_instar,1,181,310
ob_1,oude_beek,second_instar,1,182,313
ob_1,oude_beek,second_instar,1,183,311
ob_1,oude_beek,second_instar,1,184,304
ob_1,oude_beek,second_instar,1,185,295
ob_1,oude_beek,second_instar,1,186,284
ob_1,oude_beek,second_instar,1,187,273
ob_1,oude_beek,second_instar,1,188,262
ob_1,oude_beek,second_instar,1,189,252
ob_1,oude_beek,second_instar,1,190,243
ob_1,oude_beek,second_instar,1,191,235
ob_1,oude_beek,second_instar,1,192,226
ob_1,oude_beek,second_instar,1,193,218
ob_1,oude_beek,second_instar,1,194,210
ob_1,oude_beek,second_instar,1,195,202
ob_1,oude_beek,second_instar,1,196,194
ob_1,oude_beek,second_instar,1,197,186
ob_1,oude_beek,second_instar,1,198,178
ob_1,oude_beek,second_instar,1,199,170
ob_1,oude_beek,second_instar,1,200,163
ob_1,oude_beek,second_instar,1,201,155
ob_1,oude_beek,second_instar,1,202,148
ob_1,oude_beek,second_instar,1,203,141
ob_1,oude_beek,second_instar,1,204,132
ob_1,oude_beek,second_instar,1,205,121
ob_1,oude_beek,second_instar,1,206,111
ob_1,oude_beek,second_instar,1,207,101
ob_1,oude_beek,second_instar,1,208,91
ob_1,oude_beek,second_instar,1,209,81
ob_1,oude_beek,second_instar,1,210,71
ob_1,oude_beek,second_instar,1,211,61
ob_1,oude_beek,second_instar,1,212,51
ob_1,oude_beek,second_instar,1,213,42
ob_1,oude_beek,second_instar,1,214,31
ob_1,oude_beek,second_instar,1,215,18
ob_1,oude_beek,second_instar,1,216,9
ob_1,oude_beek,second_instar,1,217,3
ob_1,oude_beek,second_instar,1,218,0
ob_1,oude_beek,second_instar,1,219,0
ob_1,oude_beek,second_instar,1,220,0
ob_1,oude_beek,second_instar,1,221,0
ob_1,oude_beek,second_instar,1,222,0
ob_1,oude_beek,second_instar,1,223,0
ob_1,oude_beek,second_instar,1,224,0
ob_1,oude_beek,second_instar,1,225,0
ob_1,oude_beek,second_instar,1,226,0
ob_1,oude_beek,second_instar,1,227,0
ob_1,oude_beek,second_instar,1,228,0
ob_1,oude_beek,second_instar,1,229,0
ob_1,oude_beek,second_instar,1,230,0
ob_1,oude_beek,second_instar,1,231,0
ob_1,oude_beek,second_instar,1,232,0
ob_1,oude_beek,second_instar,1,233,0
ob_1,oude_beek,second_instar,1,234,0
ob_1,oude_beek,second_instar,1,235,0
ob_1,oude_beek,second_instar,1,236,0
ob_1,oude_beek,second_instar,1,237,0
ob_1,oude_beek,second_instar,1,238,0
ob_1,oude_beek,second_instar,1,239,0
ob_1,oude_beek,second_instar,1,240,0
ob_1,oude_beek,second_instar,1,241,0
ob_1,oude_beek,second_instar,1,242,0
ob_1,oude_beek,second_instar,1,243,0
ob_1,oude_beek,second_instar,1,244,0
ob_1,oude_beek,second_instar,1,245,0
ob_1,oude_beek,second_instar,1,246,0
ob_1,oude_beek,second_instar,1,247,0
ob_1,oude_beek,second_instar,1,248,0
ob_1,oude_beek,second_instar,1,249,0
ob_1,oude_beek,second_instar,1,250,0
ob_1,oude_beek,third_instar,1,1,0
ob_1,oude_beek,third_instar,1,2,0
ob_1,oude_beek,third_instar,1,3,0
ob_1,oude_beek,third_instar,1,4,0
ob_1,oude_beek,third_instar,1,5,0
ob_1,oude_beek,third_instar,1,6,0
ob_1,oude_beek,third_instar,1,7,0
ob_1,oude_beek,third_instar,1,8,0
ob_1,oude_beek,third_instar,1,9,0
ob_1,oude_beek,third_instar,1,10,0
ob_1,oude_beek,third_instar,1,11,0
ob_1,oude_beek,third_instar,1,12,0
ob_1,oude_beek,third_instar,1,13,0
ob_1,oude_beek,third_instar,1,14,0
ob_1,oude_beek,third_instar,1,15,0
ob_1,oude_beek,third_instar,1,16,0
ob_1,oude_beek,third_instar,1,17,0
