feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.49_mz-612.89594,2740,2222,2234,1780,2932,2332,2578,2010,1298,1338,1496,1340,1568,1614,1688,1188,952,898,986,582,2862,2716,1328,2706,1652,1586,1576,1844,1564,2492,1200,1814
rt-0.49_mz-613.89858,1360,1022,880,730,816,936,1004,916,550,452,660,622,554,794,512,386,494,256,498,314,972,1344,682,1040,708,502,898,452,680,998,540,854
rt-0.49_mz-680.88376,2138,1764,1614,1474,1854,1824,2182,1310,1112,870,934,1166,1678,1316,1164,906,764,912,892,554,1618,3084,1284,1894,1048,944,1174,940,1664,2206,788,1744
rt-0.49_mz-764.84661,2062,2348,2340,2506,1780,1514,1836,1806,1216,1164,1546,1132,2790,2392,2776,2314,1862,2976,2532,1786,2868,2270,2830,2746,1258,1006,1226,954,2080,3024,2552,2646
rt-0.49_mz-810.83994,1200,1416,1362,1222,1610,1038,936,1018,964,618,760,754,1042,1066,1002,960,992,862,760,748,1446,1490,1206,1566,1026,608,720,784,1000,1338,1084,1306
rt-0.51_mz-266.92747,5374,5530,5986,5948,4168,3434,4138,4312,4486,3870,3870,4298,4816,5160,4882,6312,4768,4680,4908,4468,4538,5110,5692,6088,3080,2164,2552,2222,4824,4978,5802,5952
rt-0.51_mz-404.90004,1742,1674,2066,2144,1996,1490,1886,1824,1394,1694,1802,1736,1900,2164,2036,1920,2556,1772,1800,1692,1994,1990,2092,2348,1272,1468,1570,1732,2042,2160,2456,2450
rt-0.51_mz-454.91217,4092,3284,3512,2254,4036,2936,3972,2746,1858,2042,1772,1470,2258,2094,1420,1276,1468,1404,1342,626,2756,4484,2288,2664,2132,1690,2446,1728,2132,3192,1504,3250
rt-0.51_mz-456.91008,1650,1286,1448,1062,1492,1078,1236,1110,726,630,644,586,844,794,710,656,462,606,512,416,1104,1794,990,1404,940,636,866,588,1028,1100,584,964
rt-0.51_mz-560.88544,2492,2696,3258,3706,2114,2080,2674,3366,2604,2418,2762,2742,3238,3496,3362,3386,3000,2850,2332,2990,3812,3210,3254,3594,2010,1958,1910,2426,3158,3132,3738,3514
rt-0.51_mz-696.86096,2572,3254,3312,3022,1984,1672,2564,2680,1722,1606,1976,2024,3196,3284,3026,3246,2538,2652,2990,2490,3358,3024,3458,3250,1702,1252,1368,1392,3484,3232,3264,3864
rt-0.52_mz-396.88465,1000,2224,1920,2098,1228,1038,1528,1176,1534,1568,1714,1640,2056,2048,2436,2940,2980,1884,2094,3014,1622,1736,2370,2086,0,0,0,0,1700,1642,3042,2232
rt-0.52_mz-697.86308,830,938,1044,1134,642,782,1042,692,632,758,742,708,748,1098,902,1070,860,976,794,798,912,858,1100,1068,458,604,902,652,1200,998,1064,964
rt-0.53_mz-175.95955,1036,810,662,876,464,622,500,604,664,520,524,626,1074,1048,718,858,804,630,902,1192,524,570,1428,796,440,402,530,802,860,716,944,806
rt-0.53_mz-334.91463,7086,7762,8992,10038,7532,5112,6230,7244,5726,6456,5996,6918,7274,8626,8838,9352,7420,7424,8854,7650,7912,8760,8086,10018,5212,4624,4316,5052,8364,8778,10712,9510
rt-0.53_mz-431.93007,1426,1488,1118,1260,1312,1100,1672,1250,948,1198,1062,782,1374,1212,1304,900,1128,1198,782,856,1356,2244,1328,1166,1186,932,1300,872,1212,1548,876,1254
rt-0.53_mz-498.91558,5440,4798,4332,3472,5018,4294,4808,4020,3348,2628,3022,2454,4528,3524,3300,2606,3026,3516,3118,2036,5584,5556,3752,3880,2944,2518,2772,2398,4138,5188,2744,3604
rt-0.53_mz-522.89937,3240,2458,2266,1376,2312,2176,2406,1680,986,1248,1070,928,1612,1176,1000,880,1058,1084,740,394,2018,3560,1380,1698,1284,1296,1380,1004,1938,2238,872,1286
rt-0.54_mz-336.91248,1868,1620,2354,1848,1614,1446,1526,1692,1582,1452,1532,1536,1234,1856,1690,1882,1380,1346,1494,1562,1448,1684,1866,2094,1342,1088,1432,1386,1706,1504,1794,1842
rt-0.54_mz-472.88761,1952,1966,1704,1634,1850,1506,1624,1566,1580,1260,1578,1418,1396,1798,1440,1214,1800,1492,1254,1300,1992,1904,1530,1616,1664,1320,1668,1506,1618,1902,1516,1816
rt-0.54_mz-566.90322,4872,4580,4094,3656,4362,4818,4040,3694,2388,1976,2246,1802,4960,3502,3180,3036,2934,3854,2710,1514,5892,6330,3176,3518,2576,1752,2210,1648,4512,5046,3024,3574
