feature_id,group1_1,group1_2,group1_3,group1_4,group2_1,group2_2,group2_3,group2_4,group3_1,group3_2,group3_3,group3_4,group4_1,group4_2,group4_3,group4_4
feature_3127,906,676,0,0,4776,1494,1524,1310,356,1106,0,0,1232,666,778,0
feature_313,143224,110772,136416,600,66536,72528,62100,96494,18478,27928,0,548,55804,93278,69102,386
feature_3130,436,228,382,692,2892,1128,922,1614,148,478,0,288,788,1972,1090,1586
feature_3131,0,84,1236,322,328,318,1152,1498,0,0,0,0,162,324,472,960
feature_3133,1504,1122,1972,0,9058,3042,2854,2230,460,2536,0,0,2806,1704,1172,260
feature_3137,198920,136590,175144,45150,292388,329444,265036,314640,39628,155336,6596,49684,336518,381764,302986,160102
feature_3139,19796,13620,17734,11452,40524,37730,32112,35784,3908,16684,2762,14850,35602,48576,37164,35716
feature_3141,4474,1714,4014,2508,8136,5012,6584,4646,616,772,698,900,6290,13188,4054,19872
feature_3143,0,0,550,0,404,434,518,626,0,0,720,1612,612,282,564,1092
feature_3144,44498,29168,37632,0,63256,72562,61180,65166,9026,34744,282,0,74962,85448,64070,3702
feature_3146,124,180,0,58,5626,4962,3508,4618,0,210,56,158,4114,4954,5050,2696
feature_3147,1786,970,1220,676,1930,2494,1800,2056,362,1214,266,670,3086,3572,2292,1846
feature_3148,1754,1302,1826,542,2182,2584,1956,2550,784,2250,152,1198,2006,0,2008,1026
feature_3151,2568,1760,2028,1140,7684,10116,6304,8296,586,1702,362,1024,2844,5226,3960,4106
feature_3154,1908,1014,2016,0,2868,2400,2026,2074,342,1720,0,0,3586,2528,2736,300
feature_3155,0,0,74,518,172,220,272,386,0,128,1226,728,0,0,192,364
feature_3158,0,0,0,1360,924,640,708,582,0,0,776,0,0,0,0,864
feature_3164,26880,0,0,0,1640,2006,2944,3068,0,0,0,0,0,0,0,974
feature_3167,0,1142,1316,4846,6170,7234,5524,5754,460,1126,1442,3512,2688,4798,2422,16102
feature_3168,308,0,718,716,1614,1766,1910,2114,0,0,0,0,0,1602,1226,4100
feature_317,0,0,178,300,0,0,654,1600,0,0,0,1098,98,560,1668,1018
feature_3170,4832,1640,3922,2896,19934,19700,14804,12368,0,2114,2296,1294,13474,28694,8740,40122
feature_3172,2752,1120,1922,0,1822,2542,1858,2006,378,626,84,0,2414,1872,1682,700
feature_3175,88,212,266,232,6426,7470,7416,6378,224,152,90,0,3916,5992,3074,10860
feature_3176,378,316,416,0,1590,1732,1506,1204,0,0,0,0,1368,2864,608,3698
feature_3177,8004,3606,6798,8972,32364,28972,26832,23222,600,560,776,774,23312,42358,14550,56014
feature_3178,11452,5458,9968,11574,45322,43270,40204,33532,422,692,1136,1266,36368,60188,19852,95398
feature_3180,640,496,648,668,5182,3138,5308,2578,88,0,178,314,4076,7382,2632,16336
feature_3181,178,0,0,0,1150,0,0,0,0,0,0,0,1058,1374,808,3180
feature_3183,174,0,0,168,954,672,1346,748,0,0,0,0,954,1424,754,3980
feature_3186,0,0,280,0,7400,5532,3308,1430,0,0,0,0,6260,1356,1440,0
feature_3187,0,0,98,0,952,676,1124,1010,0,0,0,0,866,1872,1004,4232
feature_3188,2876,2114,2138,1140,2480,2510,2852,2484,6344,3312,1946,0,1564,1302,988,0
feature_3195,3110,2794,3082,0,3750,3042,3402,2522,8006,4282,2848,0,2376,1466,1534,0
feature_3199,640,646,672,1476,0,348,210,166,692,376,3380,806,0,0,200,1840
feature_3200,3640,1840,2826,3048,15912,13894,11990,9818,424,270,470,342,11802,23116,7020,27000
feature_3201,0,176,196,0,1182,660,994,678,1954,14342,710,5096,3418,2764,3170,3270
feature_3206,1558,580,822,2826,4702,5046,3802,2998,1076,820,5738,3216,3374,1942,1272,1578
feature_3207,568,192,532,1260,2186,1630,1932,1162,880,684,3272,2360,994,948,760,948
feature_3208,806,0,2860,488,1092,582,0,362,70,96,0,0,150,1002,1688,1878
feature_3209,0,0,0,628,468,614,710,0,0,242,342,1554,1674,1674,974,2584
feature_321,168,288,352,1118,14542,9224,11038,17196,0,0,124,0,19672,21234,29664,54316
feature_3218,776,0,0,1178,1302,1596,1068,622,0,630,0,0,1044,1696,0,2232
feature_3219,0,0,0,0,11648,6658,3978,2290,262,0,1992,0,6558,1882,0,0
feature_3220,586,704,824,492,1294,1446,830,968,688,1018,426,464,986,1360,1210,918
feature_3221,124,0,374,398,2128,1884,1890,1368,0,0,0,0,1110,2860,1136,5548
feature_3223,0,1618,0,1376,1538,0,0,0,0,1742,1066,1330,1862,1484,1564,1072
feature_3225,452,464,492,456,6646,10408,8394,3712,386,0,1576,726,5568,4428,4332,10656
feature_3226,2576,996,3584,1100,10002,9900,8390,7604,2308,1412,2894,1372,8334,8250,6372,12866
